phot_g_mean_mag,bp_rp
18.702576,1.5884151
16.868687,1.2774601
18.141619,1.4290142
16.530457,1.270772
15.443442,1.5423021
17.65187,1.3556519
18.393951,1.4738941
16.697939,1.2645979
17.48816,1.3560448
18.858181,1.5352192
19.833553,
15.622127,1.5017548
15.249058,1.516943
18.827177,1.5649624
14.163106,1.5503578
16.616705,1.2787924
16.514761,1.2687254
18.106386,1.4944687
18.459913,1.5359135
16.983326,1.2969131
16.150543,1.3210697
19.583076,
18.777622,1.5048752
16.954803,1.3005219
18.694742,1.6256485
19.332832,1.7699375
17.204876,1.3150578
18.89359,1.6202698
17.413,1.2965374
19.47726,1.7421703
18.780333,1.6018467
19.67053,2.0101242
17.289152,1.3204613
17.566193,1.2687397
18.090082,1.5135288
16.61973,1.1785183
19.501873,1.7056789
16.703218,1.1580887
16.304588,1.161685
16.488073,1.1703224
16.99983,1.2017441
18.352854,1.3951607
18.96019,1.5005436
16.131033,1.1824875
16.056835,1.1834879
16.862719,1.1666412
17.673904,1.2940445
18.214613,1.396883
16.595303,1.1741257
16.980572,1.2022476
17.089268,1.2093868
17.776882,1.2724838
17.07701,1.2133121
13.732726,1.4686661
17.616045,1.3349056
17.919767,1.3215046
14.530223,1.4105005
15.906387,1.2019062
16.232391,1.1689825
15.812898,1.2550201
18.263657,
17.623556,1.2827854
19.487965,1.7506161
16.717957,1.2623072
16.55347,1.2150507
16.003103,1.2529325
19.878975,1.8855553
14.864489,1.4705868
17.90214,1.328413
18.353622,1.4141197
18.205467,1.3878536
16.83534,1.2547874
18.356424,1.4211426
16.980146,1.3460159
19.43539,1.7662926
17.459389,1.323946
18.940678,1.5679207
19.616282,1.7625427
17.405327,1.2956944
17.954847,1.3548527
18.074478,1.37187
17.466276,1.3064766
16.288786,1.2639446
16.383581,1.2327557
17.44194,1.295763
13.9052305,1.52353
17.23243,1.281744
18.475266,1.5256443
19.645052,1.9975204
17.35088,1.2633381
16.374218,1.2532187
18.778685,1.5728054
18.018528,1.4500961
18.231909,1.4097519
19.784441,1.7565594
16.3812,1.2393961
16.615173,1.2566042
19.254227,1.6884708
17.977755,1.3955688
18.743217,1.6461563
17.75528,1.3105946
18.18939,1.4910564
17.735117,1.3268623
17.284227,1.2670517
18.269783,
18.021816,1.3948364
15.87266,1.3966694
16.059517,1.2525606
16.76891,1.2820988
18.159391,1.4091454
17.753742,1.3262558
17.495098,1.3381367
17.510551,1.2822495
17.413399,1.3208427
17.149824,1.2524052
19.978806,1.9237118
16.262436,1.2729769
16.553581,1.2365427
16.916233,1.2446289
16.65101,1.2320328
17.546015,1.2894058
17.58846,1.304678
18.380192,1.4564323
16.018974,1.3263693
16.336512,1.2325125
18.777271,1.4719315
17.795307,1.3308392
19.794935,1.8191471
17.111519,1.2639351
17.910526,1.3870983
17.401295,1.29673
17.789358,1.3680725
17.860247,1.371973
17.580532,1.307497
17.573942,1.3850803
15.919733,1.3770332
16.871061,1.2762737
16.917288,1.2455254
19.261194,1.9404659
13.494139,1.3169394
13.615776,1.5984583
13.3843565,0.7829752
19.786188,1.8402805
17.394644,1.3745327
17.741789,1.3771839
16.196611,1.4084778
17.364145,1.2996578
16.423223,1.2349405
16.183397,1.2699413
18.424389,1.4303436
19.515226,1.8606625
19.862904,2.0360622
20.186012,1.981451
17.378592,1.3373661
18.290218,1.4171429
17.467669,1.3020687
17.328186,1.3070374
18.353144,1.4987469
16.839066,1.2604542
18.14483,1.4438801
18.758593,1.5862083
19.323112,1.2373962
18.03381,1.3853531
18.365833,1.4938145
17.872253,1.3659344
18.748352,1.5081215
17.189783,1.3006153
19.109655,1.7098007
17.776413,1.3866825
18.461338,1.4995251
17.803703,1.3253307
14.641633,1.4286118
17.548353,1.3094692
15.284446,1.470973
19.401815,1.5674496
16.646854,1.2295446
17.1609,1.3178406
19.412586,1.3384266
14.345579,1.5409622
16.808453,1.218523
17.870419,1.4070015
18.02473,1.4340763
17.064272,1.3625603
17.514181,0.63272095
17.20687,1.3247547
16.553295,1.3162317
18.813885,1.7817669
17.259525,1.4095268
15.923794,1.5214748
16.609697,1.3060246
16.664433,1.4026728
18.40873,1.4627438
18.096155,1.4412327
17.33029,1.274971
17.718555,
16.175718,1.2994127
16.700806,1.3013277
14.795441,1.511591
17.345823,
12.701277,1.6501942
16.85934,1.2753525
13.03921,1.3460398
17.784063,1.3289089
17.300047,1.2773972
16.798336,1.2433872
18.173119,1.3710575
17.77968,1.3560486
19.554811,1.8417568
18.793707,1.4935303
19.452671,1.7264519
17.640741,1.3537216
17.214674,1.2733974
18.294493,1.4989319
17.302784,1.248869
17.020065,1.2436714
18.428932,1.2515373
19.480352,
17.088669,1.2373161
17.580898,1.3327694
18.953003,1.6697674
16.295542,1.2452135
17.311972,1.483223
17.450945,1.3226776
18.061016,1.3948212
19.012186,1.5350361
15.9073515,1.3378496
18.772326,1.4939365
16.518988,1.2264585
15.898006,1.3590488
17.140831,1.2510662
14.33474,1.5705872
