ra,dec,pmra,pmdec,parallax
83.90623737142894,-6.8961899840960745,16.05871281215259,-21.425808280461258,2.7405344374962235
83.51810853791471,-6.841814542370012,-0.7538856450436573,-11.476303561423597,2.2470286596952485
83.50686780286406,-6.785513745875425,7.032112333048716,-10.618874397902832,2.090249007416966
83.7163140385585,-6.7711881551949045,8.103205447517244,-5.913298007310328,2.0678311491797423
83.65198599902543,-6.703194179966516,1.6207186289051314,-1.2852844424236294,2.492850753311691
83.63128108335702,-6.6413279808528385,-4.28569561057378,-12.466139730642189,2.254004258695602
82.95224482933021,-6.640658536800214,3.832084248807906,-31.550553558097707,2.7608304292347237
82.96419586053123,-6.592295805003052,0.34197333339612973,-0.27159593171727514,2.5500202171584867
83.35191717271269,-6.776642529329341,1.7707564387761037,-0.6936310951315735,2.4420060269985613
83.4278432436297,-6.703574836580625,0.7611540196460398,-0.5859188250682584,2.5712565123036852
83.2833499929068,-6.69750546267687,4.688524381032361,-1.755688878352188,2.093578288548249
83.53193779790566,-6.528883983089128,5.669967844667489,-28.42087376731282,2.3600268514120257
83.46214129491675,-6.4715640074815735,0.9107899908604052,-0.49803588369798635,2.1744425449734703
83.08249417702525,-6.675561716065669,0.8416122882895576,1.0926954245206253,2.866671596291831
83.29365009173245,-6.575752140445254,-1.8103417596076115,4.172405104669267,2.819645578457585
83.1825467532507,-6.568900238663243,-0.320263973418365,-0.4174443749846412,2.742564042565248
83.40220728235992,-6.445148510370836,0.8603737891001295,0.3538450746829228,2.6178908374048158
82.90584559507971,-6.544639324466619,11.211140041963315,-10.17951202757079,2.492016114133912
83.0047317879454,-6.5489790020311,1.2388413923776709,-5.523372855855729,2.075227191740588
83.04180422510018,-6.486894576568561,1.2248973155923217,-1.3014057611832228,2.7845108636559397
82.97055105596696,-6.3410522564623415,1.4199699334929197,8.402673515133277,2.695264164018266
83.13875345694636,-6.2126420372047875,-3.133916931508829,5.778178999063982,2.180891051557142
82.90561249116418,-6.299978902584704,1.7073165988189463,-1.521437690371956,2.8928183716000175
82.76350121731,-6.275648988285423,0.8242999638155446,2.2150275847484573,2.0661923238357263
83.03628075101226,-6.1196881525172575,3.192690876162158,-0.9092101942692054,2.7676373393048292
82.89168158177476,-6.139222251613048,2.919425554840878,-0.629639272584043,2.2659343670694745
83.04337444790845,-6.059115959712244,-3.9485681536106934,7.395834123903846,2.328994173566549
82.96719309498695,-5.989306644027216,-5.727754786543505,-5.7138888784709465,2.17962384796329
84.15691106192249,-6.806308784011317,-0.9403202183353815,-2.874226332623344,2.532757363834009
84.3287411723806,-6.7844084291096385,0.8674672627760028,-2.106914569218587,2.8688778019434773
84.62237066902588,-6.427903808786019,-1.749131362428319,2.263679216689906,2.4533366551703977
83.99679711326733,-6.831112537184855,0.9574008429842756,-0.0988497804434111,2.639469950492205
84.12596286262625,-6.712780996473244,0.6368567382187057,-0.8470706012851849,2.325998127482857
83.98938701744358,-6.711607104205258,0.8489235535010302,0.5139000852960197,2.7484367376413097
84.12328824324467,-6.6473006749728105,1.2845285680672875,-1.0502362158475456,2.711228065520473
84.31136524282923,-6.587735428108925,1.1353177039988365,0.08310729138631295,2.565036782749424
84.16389462450877,-6.503072406034477,0.801135540916138,0.5908256928961119,2.5516212303810293
83.96392433940082,-6.556513738841965,4.1055204588766605,-26.30222166539777,2.651505832152042
83.79611511804595,-6.55745387247029,3.6597526840451726,-1.273164998093855,2.510508415034635
83.79556843504713,-6.551465767587885,1.4357756243967936,0.7450244560195071,2.6971150139962585
84.00172099637865,-6.559198807287229,0.634417424878577,0.1322146233841329,2.2920715773813676
84.06501395204785,-6.455530341581632,1.2527926666830045,0.5563749188192635,2.6522758445812458
84.09122986480273,-6.433762091308878,1.446146219624129,-1.2311057543180692,2.3310029634679057
84.05253592568647,-6.394321602652015,1.1313340229175055,-0.15968631510618367,2.722284071551925
83.99093019706768,-6.395874682514154,0.12511527129264535,0.49217404136206266,2.6582567000064126
83.99289019247264,-6.369909935275607,0.2755108295107235,0.027022619281960078,2.7957049689500892
84.04349628322743,-6.333757763100601,1.193786176326973,0.6066680302668578,2.5979974419045044
84.44977849054004,-6.416386045285925,1.7085883327739797,-0.9016344657298432,2.381434228476875
84.27408301522571,-6.454616658033475,1.165361649823187,0.14974124372404313,2.710777060598369
84.41596947695975,-6.323829071025666,0.8716103577476167,-28.809457806087913,2.2621492714156477
84.49629700178214,-6.305091474355713,43.098394170123434,-69.61333370786215,2.213082922632538
84.50485712810004,-6.239124126142541,1.6086440599111846,0.6140980156006598,2.5188513706288638
84.25980649240469,-6.316813258328977,-0.22171571410428995,-2.875133815417284,2.7280551206869728
84.4145052978597,-6.1079666806221775,5.581493962780056,-7.670123835304522,2.7418530800947836
84.36696297697394,-6.053433724185787,-7.657157919267535,8.610456152234049,2.616450159636813
84.35383227432779,-6.045056305980778,1.8758282941833067,-1.2594921263211865,2.724665232722195
84.89351838919565,-6.403381798234076,-1.8184252056377848,1.3302878922848798,2.3250637363909723
84.85674870050995,-6.317589531238714,2.273132355030384,-1.0200272475157965,2.6363992213440475
85.03590375458798,-6.206183260607781,-4.690673215785216,4.707849659487837,2.1118120456799505
85.03915704368991,-6.108503659719644,0.4201060405625068,0.7507207874920159,2.0985670420368927
84.68750322520097,-6.193949395698378,6.408810086534178,4.8310745192022395,2.3244844785493783
84.76010675049648,-6.086972068324143,1.3527103188453404,0.2653040682014082,2.55931193423506
85.01936632011008,-6.0080242616936035,13.064890882861995,-0.49995660416577503,2.0929211184293375
84.90764051602017,-5.898350470790411,2.062114995970636,0.17506424387571265,2.375571805588817
84.67075142735979,-5.944698438090841,3.007487246632974,-2.8979470370015883,2.778906363952464
84.5892508390017,-5.927985581431935,24.184929885131467,16.09861484783991,2.811364565824945
84.67575188199767,-5.921511987980284,-1.396178117921999,0.08777973688362431,2.6103736931978343
85.21534236223619,-5.665482047256814,-1.0103961958771341,-5.737862308407534,2.9601501349465895
84.86743785303273,-5.688553133370634,-2.676342180073607,0.8978305780984402,2.4175772383656216
85.11951052224461,-5.604091958486891,13.112188612865614,16.874884771261026,2.0064831873238753
85.15986895869108,-5.57730876539252,-3.883339853732629,-22.86903927970876,2.1474611051552497
85.0560896435907,-5.458885396891798,-14.770122672135074,-39.511106535086874,2.819893258966248
83.61866982707397,-6.499065030613122,-1.7323642356359301,-1.7983916679626357,2.609150831241513
83.99906380035016,-6.2682088475009685,-0.5238878794764416,0.7070523513770325,2.6931596186469786
83.86638843435476,-6.160869677616917,0.5356558519283945,0.18289464626818083,2.645644306508107
83.5140489482335,-6.262606822509103,0.4376420499054511,0.8009598673945121,2.159944497713717
83.4431618210304,-6.220348960097595,2.290005549670358,-46.789230775957186,2.54934069695872
83.74183211896694,-6.2066593458853365,-0.8362467371507919,-3.146959846955172,2.975158683928221
83.6532043845815,-6.217449301171091,-12.749599083670047,-12.810427028420971,2.695090120451204
83.64532176929683,-6.190524781100063,-0.06398247193996622,0.5036560958802342,2.5039996437023566
83.81449593171789,-6.137334289691628,0.7040191579927957,9.407701220296586,2.726133947724221
83.79189756930852,-6.093468690037956,1.5983174675281477,-0.37848685206759475,2.5321598084786117
83.62465403158802,-6.157496178532521,4.806278872751784,-14.48744631824076,2.361546287639164
83.64195456975175,-6.138954062415575,-4.622337900893931,5.924087552815379,2.9798039509824332
84.00460127192956,-6.258734613162875,0.21738161110550022,0.43624871039579927,2.529737642014809
83.98881376169817,-6.040068190285301,11.94439208275254,-10.94815838573867,2.7683597707413297
84.18097664226926,-5.932133088383505,1.4985182643766621,-0.446324494916709,2.54242662591727
83.94999739651331,-6.026287060647822,-0.4040948289199941,-0.16166889717635305,2.4451242924829164
83.93799018430359,-6.018616305955676,1.1065076995539953,0.7602748821240873,2.601899420522322
83.94777830192336,-6.007578301825886,1.459394444163238,0.23752043940060208,2.4943579049312063
83.91898701800255,-5.973935869546109,1.555377494094003,0.6640503483171953,2.705023163099927
83.74389179546677,-6.000033781429529,0.902529129410999,1.539507690159665,2.7057773638024574
83.82113461821777,-5.992140838598851,1.4975265287197095,0.6245906328525641,2.60886434034668
