source_id,ra,dec,parallax,pmra,pmdec
63561740706077056,55.67150136326923,21.28167015664145,7.511955700669591,2.940319735957493,3.3044002773160726
63585036608738048,56.22036355889966,21.57101441962209,7.786119609386528,21.318435514140948,-47.12835262252343
63677326867342464,58.10251694951161,21.506109143477744,7.419674106187213,19.852902320182725,-44.94200921290559
63750719268324096,57.610461237050984,21.88350523983648,7.565912502830434,38.21129976411065,-25.5716113318405
63795593086958848,58.60906405416162,21.8923364567423,7.354076784121969,25.159106010057794,-36.87629068332017
63826448131945984,57.9663345193002,21.822564566552924,7.463877991507574,20.386327802554828,-45.64281530094115
63889085934846208,58.472251631731964,22.510271900178736,7.639202700746432,20.753872670227032,-47.266162612764404
64019618579817472,56.77042346306362,22.27560154914052,7.590758110528654,57.72676969950956,-112.47689608417222
64057173773552000,57.59567055273912,22.382974707285413,6.131088578127872,-0.09873711214340442,-6.067555538355159
64057551732842112,57.391574255715206,22.276518707489437,8.917099523165115,19.439553310024262,-47.97434749496031
64061503103122048,57.48171863665813,22.45017973023857,8.842154003495272,135.72994131076572,-47.2277736362302
64311676355580672,54.9156434147338,21.849176951229467,8.17052916192914,51.79282481933243,-12.17411863167659
64399976587933824,55.40404246081047,22.042498826686504,7.659569885211935,8.11084475144607,-10.704929894043499
64597446299465600,54.110888403943605,22.56703976361845,6.082425521025303,3.1416192271808496,-40.81467126034133
64784981751920896,56.769357797252965,22.61855698053571,6.321159637994757,-54.03545469690655,-59.742647277183515
64789341142845952,56.6767099756303,22.683729724100903,7.938028271932162,51.90145008241207,-13.004251162387563
64824800392424832,55.95039317873526,22.705336304520124,6.01229977905467,-15.018083807986894,-7.954572087562062
64835971603517312,55.72502307841837,22.827964169111993,7.814728080607202,90.02668685061448,-41.45867992387527
64873045759681792,56.26328937947244,23.116111613263005,7.188618772515743,19.617114088918502,-45.246723656071524
64898368889386624,56.84551303331775,22.92190886967802,7.862776514007767,20.17605663822472,-44.640592279584034
64912009705490304,56.849467055307045,23.149004829363466,7.346863076857361,19.44531824588345,-45.5403292607655
64933759417767424,57.18418961094356,23.260465412980825,7.471546737251657,17.13655076339148,-42.40674599011606
64933759417769984,57.18299036630866,23.2596150203104,7.318904571155356,19.293731697883047,-44.88499205938077
64982344089813248,56.46988426929079,23.46487435939193,7.216786495064386,20.003641467123558,-46.246385433920125
65010239900405504,56.77834370556732,23.71495241087836,7.3503939491290735,19.425567035566697,-44.40913844613404
65020414679879296,56.96895425474899,23.94102406851244,7.376293478669214,19.684597110725647,-46.393807800230576
65121810267254656,55.272632021130214,23.548960192196425,7.482056266290665,21.72997648444975,-44.81366245108036
65136791113382912,55.70385233585675,23.580003136612984,7.410691983881695,21.679338642754335,-46.49129154083005
65165653294149760,56.30591985851103,23.51671671299534,7.172780984631883,20.675289820301945,-44.85616584762688
65171941126264704,56.435429458101844,23.57713980980712,7.037399454572125,-0.5254896371227353,-75.88276940181446
65200283613608704,56.61546284551448,23.812491723079685,7.3976813023598815,19.371365646455065,-43.87192840251005
65203723882387200,56.592784885931124,23.873915523301573,7.253132457306032,19.516327149760084,-43.35612502686474
65207709613871744,56.849928429173104,23.914271006001808,7.185575669070407,19.60591854512209,-46.32969547460584
65221586651685248,56.49050612273433,24.051232484000153,7.147155067867327,18.21744136298265,-44.80112017638531
65226092073881856,56.724915748846826,24.132370680376567,7.1171559330370835,19.309047531519298,-44.32380590885371
65241863193865856,56.05066499276738,23.876887924642986,7.423976552521405,19.99343255069661,-45.11111429836059
65247704349267584,56.05452292932521,24.030615863047565,7.594803806906587,21.404856037527303,-45.88621865204381
65248151025861120,56.09618368466843,24.068094985032182,7.442648971691504,21.774572647141717,-47.34106561409916
65248460263511552,56.05316220658391,24.031592251729883,7.363469370053254,20.146309227148777,-45.14531743177651
65249250535404928,56.06105910286945,24.101914672074734,7.1375867450273605,20.708631306878623,-43.43679844036549
65257187636977536,55.6716335456923,24.028395789556246,7.165841660739484,21.017719353305196,-44.67677495515933
65277975278721152,56.42257638294714,24.288391329066016,8.71673384653804,13.245793148969648,-46.990916480869856
65283094877491200,56.48651262988783,24.368679378469434,7.309588337637114,20.47253405385219,-44.49840350420613
65290718444385536,55.96994147372375,24.313336030713643,6.8814159629576315,18.989503852792005,-45.30534087165915
65310410872281856,59.026795506346716,22.296428939358293,6.317292921602047,20.4845752307243,0.39555290372630514
65568035893062272,59.576617351175535,23.607954439864486,6.226394568678513,32.195674179151474,-30.500934970917747
65660158649542784,57.90855896594161,23.182920241945293,7.656666795074176,23.660945083527437,-52.53433562750638
65667855230892288,58.125029786744214,23.297472823716625,7.073632353409959,13.906660534160801,-14.655362505608032
65701527774387840,58.59373152659763,23.63651277018731,7.4050316715605184,18.36910938785275,-45.979828036328726
65817663689570176,58.450722342881804,23.969999044025077,6.250135539674906,39.88918411153617,-16.311022144945543
65864427293364864,58.99343210356197,24.54973327420377,7.504791433754841,18.608912286604085,-46.92634401642668
66241319263819136,59.259026112440786,24.661859765703714,8.89478036209787,192.60125158137012,-110.14456930887681
66517468482370176,57.07512164513408,23.891273678457935,7.295109846533388,19.104444028563226,-45.3486188239001
66555573432261376,57.553681045693764,24.3516155481885,7.243086363411307,17.833343166460896,-44.351060633719605
66558249192653952,57.48590927641627,24.348794070150266,7.315576014582632,19.505374073802887,-44.599599471397354
66584332530000512,58.5372425847833,24.333489202385312,7.367492017884601,16.628944777293775,-46.42381782072467
66633668819824128,58.846241303268826,24.817917547837286,6.865423275924452,19.827994753858945,-44.86800622760162
66639720430624640,58.009555879988575,24.36313812012763,6.613685161635862,25.056974463110237,-46.82158724085947
66710845088732160,56.94337881610533,24.050481718343995,7.555830848391911,20.172732693758086,-46.513945005186066
66728265476081408,56.73055847874693,24.187798191519004,7.225399757694413,20.392590515354556,-44.02063830180597
66729261908482048,56.791988143840086,24.276453622807093,7.357064223916837,19.959460137901697,-44.498036812412536
66732423004453376,56.723447112517924,24.287294176897756,7.368695724018906,19.249077626062416,-47.50404014517325
66783928252047744,56.708524167110795,24.4958586342095,7.035263896954224,20.351311257258416,-23.501343563834737
66795640626019200,56.77385984972839,24.667526707017217,7.628355268781066,17.47070524179368,-46.7222962601822
66800592725851776,56.54907922003248,24.622119094596144,7.550076412992421,21.195216191185757,-44.69592411866067
66801623517295104,56.536336992339514,24.675721556933823,7.373604115597466,20.873189844183816,-45.69153438245064
66803616382830592,56.35297311857009,24.646085831329238,7.2974380334372,18.794078206161423,-45.50281705739549
66813065310153472,56.629622754702844,24.820405609547713,8.43763595912417,54.803438463919434,-77.01054329297966
66951466337428480,57.21790500711882,25.375515207081115,6.659725300304907,17.51634670364892,-40.92145648568612
66953940238584192,57.283862275866674,25.481681901787855,6.169736375762654,-11.133039291132325,-60.078084741612855
66969676998824576,57.77650195986893,25.594492433140854,7.309821489243173,20.12835332681689,-45.270036288204764
67001047438765824,59.197714548929504,24.860374320585745,6.5526594899211075,-26.865609590548942,-44.158887737920644
67084301084506752,58.45434096137674,25.276216555169775,7.037998601410803,-11.590227151671495,-28.2348828473227
67088664771417600,58.74707533783821,25.37152242626173,7.379799277980277,-70.24194494854875,-122.87033426337885
67278158729741696,58.24497934067102,25.43848141011749,7.570511532362098,18.051648108880084,-46.658336671843564
67317638066205568,58.862372529514346,25.842181253032702,7.911479114879513,63.321505476685054,-57.04490999143741
67988615037924096,53.64827525953711,23.64528208335387,7.505259297500794,20.42959099455326,-45.12786062673306
68119628720079360,54.91858037993675,23.452150850063198,7.0773321448939255,49.75657218603502,-17.972642614017754
68159241201980288,55.19695030100754,23.876542848553118,6.633179501704393,-10.648884764738952,-35.613998695827
68223017172733056,54.84202762101422,24.044107991649803,8.039909407999385,12.213828517013226,-31.675123622139612
68268303308484224,55.75532685027968,24.24773108224273,7.468803484431587,19.281719350539277,-45.75332459094989
68271773642342272,55.6401561372504,24.29410817457276,7.401987820537227,14.169134264878458,-20.557831207498573
68297268566487296,55.811666409708565,24.391345771937306,7.065109421258374,2.3466124963786488,-83.18933494874634
68310359628169088,56.08555902364135,24.77265650135556,7.239818276902314,20.77951011355984,-46.36606728995916
68319529381881344,55.874637647335454,24.656396620900924,7.578873356565054,20.777348312640164,-48.2465613696604
68323485048225152,55.96738194580432,24.841417159243488,7.374984049012138,21.07795817540528,-44.25781713802527
68356367317952128,55.16567231201829,24.735582879413812,7.6624858858062375,20.52210330743714,-46.58775662675574
68356367317952256,55.166905206554425,24.73568048752452,7.546891212349643,21.054175573782974,-47.18961144353148
68363411064150272,55.58985581891144,24.664471459088475,7.367549758589729,20.382744156700035,-45.1690359507745
68461473757131392,54.41770658159563,24.715973211372,8.277937768136034,28.101418389723396,-46.27236575506635
68471163203400320,53.903431894737,24.41802608067364,6.430921059839935,3.5038075420181265,-17.814455303651872
68475904847290240,53.79354808310715,24.531663645306,7.172670900160543,20.70616102061893,-42.988025987035556
68477004358822784,53.74502340493472,24.582372325507176,6.531241745940345,-9.464307290382209,-3.0159746552909574
68596640672195328,54.92365455303165,25.245524294065213,6.7667296514171085,20.83809508698929,-46.745927805775025
69444677670782080,54.30073454236306,26.043126972980147,8.465317737310702,4.270066566584873,-27.53993253913516
69819198819177216,56.35503775363116,24.911393076487396,6.342442053932584,-10.555482335199489,-42.031029112339496
69858094042908928,56.769877107879125,25.380411951167037,7.182057919317966,20.58033921483641,-45.01120907151647
69859124835119360,56.46653993674255,25.16698929532755,7.368127350969552,18.782484712686713,-45.49913875760345
69918086146123520,56.27224584037732,25.486232262260643,7.307102820399967,20.48440956570171,-46.506191978474355
69985499953396480,57.34233213174778,25.793689824375647,6.94028215287807,19.41255011592517,-43.07535022079901
70044255105867648,56.652021084956715,26.034861909689557,6.267428148388099,46.96581655931425,14.692726582884713
