source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag
5248753608309255168,137.98633699738463,-64.9995340412543,0.18658818566757754,-5.852566086181994,2.81492009741453,19.803034
5248753677019735040,138.04405665981312,-64.99628373267288,0.07672898651257029,0.9874647267932483,0.3000552090893864,19.882957
5248753707084256256,137.99975074822768,-64.99146041824913,0.13375789246339848,-0.23683386279186644,-0.25385883973811935,20.351881
5248753745734680960,138.02026041313079,-64.97757874012319,-0.05130468295151175,1.765782328040325,0.0612877457818219,19.739086
5248753775801338368,137.95649056435633,-65.00478264377526,0.24074654298477688,-3.896130418343793,5.9106585902181425,17.439182
5248753780109221120,137.9437036132565,-64.99892139989652,0.2751293452607981,-3.7143192980204125,-4.613719595350016,13.438958
5248753814461403008,137.95915825309666,-64.99299967786669,-0.5670036185332871,-0.5320093731353929,0.6524376141485868,20.754986
5248753814463996032,137.95421713193045,-64.99061630085222,-0.4768531768280737,-1.0688352056628645,0.180358946249815,20.653412
5248753844522536448,137.91397314381084,-64.99955648221861,0.05735466115572299,0.6878443270243118,0.435387742763569,19.59864
5248753848821111168,137.92209203235106,-64.99473393062391,0.3377118152993487,0.4590265371449538,0.9794306922868028,20.556173
5248753913240362752,137.9904616960838,-64.97796391827403,-0.08973269459108962,0.7164619290413137,0.5724406851188594,19.2743
5248753951893124224,138.01651341738875,-64.97282478213863,0.04696441593248598,0.32391139391106955,0.397423569807908,19.978642
5248753981961544192,137.97156139372626,-64.9679385574611,0.13444513231935393,0.6355510457987659,0.5136351100938992,19.919085
5248753986260104064,137.97768531872856,-64.97127756428766,-0.14945226548001025,1.1747754501042125,0.38091415014466784,20.438177
5248754020612523776,137.98170106791878,-64.96105804316015,0.06521961182097832,2.4798309685622875,-1.625185512585302,19.690042
5248754261141123840,138.1564165521381,-64.99248075828515,-0.658598949400088,1.309094455440733,-4.643080839939876,20.818537
5248754394278348800,138.08673659007664,-64.99462472261577,0.06352288717397528,0.5678244083833529,0.3345894786905623,19.71761
5248754432936886656,138.10460344314052,-64.97268176718251,0.0937828421791299,0.4528248497536422,-0.03265924009143065,20.452671
5248754462996123520,138.14670776285385,-64.9904701220426,0.5464996273949154,-14.078396604110559,12.564939215484149,17.429785
5248754467296671232,138.14482681119605,-64.97727107390233,0.1615400344280976,1.219058099410167,1.1508873603719778,19.715797
5248754467302211456,138.14368650599255,-64.97718688814948,1.4640440172960643,-2.883187527479407,1.64443118051304,17.996296
5248754497357605760,138.1619281997561,-64.96777601317564,0.19346166997105596,0.12242554950491172,-0.2843568917896584,19.787062
5248754531717342720,138.11996399859382,-64.96992090730085,0.15080380871128476,1.310240636297775,0.25857466259494805,19.349491
5248754531717359616,138.13074754481548,-64.96503200411739,-0.25192058587270927,1.0916276634250333,0.5685043316139049,19.160427
5248754536021690112,138.1368779617927,-64.97017999286781,-0.28381039862665786,0.5952969182670496,0.13962757104651521,19.323545
5248754566077091456,138.15610926211016,-64.9626459297502,0.3895911066437284,1.4820595182143423,0.13306596372862972,19.872158
5248754604737356672,138.2122188824395,-64.9819483242543,2.3775551666516463,-6.38646052736249,7.696227136858865,20.723604
5248754673460824832,138.22062149219005,-64.96815723807183,0.24843440563493355,-2.847851160239501,3.1377888707456223,17.198547
5248754707815794176,138.21152934445536,-64.96071763900287,1.1404227350555822,-0.2944977981980381,-0.23348407025272477,20.61971
